Question,Category,Answer
Which key refers to another table's key?,DBMS,Foreign
Which algorithm is used for classification?,AI&ML,SVM
What is the full form of CNN?,AI&ML,ConvolutionalNeuralNetwork
What does AI stand for?,AI&ML,ArtificialIntelligence
Which ML type uses labeled data?,AI&ML,Supervised
Which data structure is used for BFS?,DSA,Queue
What data structure uses FIFO order?,DSA,Queue
What language is used to query databases?,DBMS,SQL
Which metric measures model accuracy?,AI&ML,Accuracy
Which operation combines two tables?,DBMS,JOIN
Which ML type uses unlabeled data?,AI&ML,Unsupervised
Which algorithm is used to find shortest path?,DSA,Dijkstra
What is the full form of RNN?,AI&ML,RecurrentNeuralNetwork
Which key uniquely identifies a record?,DBMS,Primary
Which clause filters rows in SQL?,DBMS,WHERE
What does DBMS stand for?,DBMS,DatabaseManagementSystem
What is the best case of linear search?,DSA,O(1)
Which activation function is used in output layer for binary classification?,AI&ML,Sigmoid
Which traversal uses recursion naturally?,DSA,DFS
Which sorting algorithm is the fastest on average?,DSA,QuickSort
Which SQL command adds data?,DBMS,INSERT
What is the full form of DFS?,DSA,DepthFirstSearch
Which command removes all rows from a table?,DBMS,DELETE
Which data structure is non-linear?,DSA,Tree
Which function is used to minimize error?,AI&ML,Loss
Which data structure uses LIFO order?,DSA,Stack
What is the time complexity of binary search?,DSA,O(logn)
Which command creates a new table?,DBMS,CREATE
Which SQL keyword is used to sort data?,DBMS,ORDERBY
What data structure uses hierarchical organization?,DSA,Tree
What is the parent of all nodes in a tree called?,DSA,Root
What is a leaf node in a tree?,DSA,Node
Which data structure is used in recursion?,DSA,Stack
Which traversal visits root before subtrees?,DSA,Preorder
Which traversal visits left subtree first?,DSA,Inorder
Which traversal visits right subtree last?,DSA,Postorder
What is the degree of a node?,DSA,Children
Which data structure is used for undo operation?,DSA,Stack
Which searching algorithm divides array in half?,DSA,BinarySearch
Which algorithm sorts using partitioning?,DSA,QuickSort
Which algorithm sorts by repeatedly swapping adjacent elements?,DSA,BubbleSort
Which algorithm sorts by selecting the smallest element?,DSA,SelectionSort
Which algorithm sorts by inserting elements in correct position?,DSA,InsertionSort
What is the time complexity of merge sort?,DSA,O(nlogn)
What type of graph has no cycles?,DSA,Acyclic
Which traversal is used for level order in a tree?,DSA,BFS
What is another name for binary search tree?,DSA,BST
What is the height of an empty tree?,DSA,-1
Which algorithm is used in minimum spanning tree?,DSA,Kruskal
Which data structure supports dynamic memory allocation?,DSA,LinkedList
Which data structure is best for implementing LRU cache?,DSA,Queue
What type of list allows traversal in both directions?,DSA,DoublyLinkedList
What type of queue allows insertion and deletion from both ends?,DSA,Deque
What is the maximum number of children in binary tree?,DSA,Two
What is the worst case of binary search?,DSA,O(logn)
Which notation represents upper bound?,DSA,BigO
Which notation represents average case?,DSA,Theta
Which notation represents lower bound?,DSA,Omega
What is the term for unvisited nodes in graph traversal?,DSA,Unexplored
What is the space complexity of recursion?,DSA,O(n)
What is the data structure used in heap sort?,DSA,Heap
Which heap type gives minimum element at root?,DSA,MinHeap
Which heap type gives maximum element at root?,DSA,MaxHeap
Which operation removes top element from stack?,DSA,Pop
Which operation adds element to stack?,DSA,Push
Which operation adds element to queue?,DSA,Enqueue
Which operation removes element from queue?,DSA,Dequeue
What data structure is used in expression evaluation?,DSA,Stack
What is used to detect cycles in a graph?,DSA,DFS
What is the number of edges in a tree with n nodes?,DSA,n-1
What is a path that starts and ends at same vertex?,DSA,Cycle
What is the degree of a vertex in graph?,DSA,Edges
What is used to find connected components in a graph?,DSA,DFS
What kind of search explores all paths simultaneously?,DSA,BFS
Which algorithm is used to find shortest path in weighted graph?,DSA,Dijkstra
What is the type of traversal that uses recursion stack?,DSA,DFS
Which traversal of BST gives sorted order?,DSA,Inorder
What is used to represent sparse matrix efficiently?,DSA,LinkedList
What is used to detect negative cycle in graph?,DSA,BellmanFord
What is the amortized time complexity of dynamic array resizing?,DSA,O(1)
